Название объявления;Текст объявления;Марка авто;Модель Авто;Год;Кузов;Цена;Фотография;Количество;Left-Right;Front-Back;Up-Down;Номер;Двигатель
Опора вилки сцепления УАЗ…;Опора вилки сцепления УАЗ 3163/Хантер 409 двиг;УАЗ;Hunter;;;92;;;;;;;
Опора карданного вала УАЗ…;Опора карданного вала УАЗ (подш. 208) (40мм) в сборе (Чернигов);УАЗ;все;;;1320;;;;;;;
Опора карданного вала УАЗ…;Опора карданного вала УАЗ (подш. 6307) (35мм) в сборе (АДС);УАЗ;все;;;1050;;;;;;;
Опора рулевого вала УАЗ П…;Опора рулевого вала УАЗ Патриот нов/обр /d18мм /;УАЗ;Patriot;;;320;;;Left;;;;
Опора рулевого вала УАЗ П…;Опора рулевого вала УАЗ Патриот нов/обр /d20мм/ взамен старого образца;УАЗ;Patriot;;;320;;;Left;;;;
Ось коромысел 2410/УАЗ 42…;"Ось коромысел 2410/УАЗ 421/417 дв в сборе  упаковка ""УМЗ""";ГАЗ;24 Волга;;;3320;;;;;;;
Ось нижнего рычага Соболь…;Ось нижнего рычага Соболь 2217;УАЗ;Соболь;;;1180;;;;;;;
Ось петли двери УАЗ 452/4…;Ось петли двери УАЗ 452/469;УАЗ;469;;;20;;;;;;;
Ось шестерен заднего хода…;Ось шестерен заднего хода УАЗ стар/обр КПП;УАЗ;все;;;155;;;;Back;;;
Ось шестерни заднего хода…;Ось шестерни заднего хода УАЗ нов/обр КПП;УАЗ;все;;;333;;;;Back;;;
Отбойник (буфер) рессоры …;Отбойник (буфер) рессоры 469;УАЗ;469;;;35;;;;;;;
Отбойник 3160 передний пр…;"Отбойник 3160 передний пружины (резина) ""Саранск""";УАЗ;3160;;;210;;;;Front;;;
Отбойник рессоры 2360 УАЗ…;Отбойник рессоры 2360 УАЗ Профи;УАЗ;все;;;380;;;;;;;
Отопитель салона задний У…;"Отопитель салона задний УАЗ-3163 Патриот ""МЗКО"" г.Муром";УАЗ;Patriot;;;5415;;;;Back;;;
Палец вала педали сцеплен…;Палец вала педали сцепления УАЗ 10х25 (Ульяновск);УАЗ;все;;;17;;;;;;;
Палец серьги рессоры УАЗ …;Палец серьги рессоры УАЗ 3163 в сборе , 452 Евро-4;УАЗ;452;;;650;;;;;;;
Палец тяги выбора и перек…;Палец тяги выбора и переключения передач УАЗ-452 задний (длинный);УАЗ;452;;;40;;;;Back;;;
Палец тяги выбора и перек…;Палец тяги выбора и переключения передач УАЗ-452 передний (короткий);УАЗ;452;;;40;;;;Front;;;
Пальцы поршневые УАЗ 100л…;Пальцы поршневые УАЗ 100л.с (1 ШТ);УАЗ;все;;;75;;;;;;;
Пальцы поршневые УАЗ/Газе…;"Пальцы поршневые УАЗ/Газель ОАО ""УМЗ""  (421.1004019)  (4шт/к-т) ГР-2";УАЗ;все;;;710;;;;;;;
Панель боковины 452 углов…;Панель боковины 452 угловая правая под фонарь;УАЗ;452;;;3950;;;Right;;;;
"Панель крыши 3303  (ОАО ""…";"Панель крыши 3303  (ОАО ""УАЗ"")";УАЗ;все;;;7535;;;;;;;
Панель крыши Патриот задн…;Панель крыши Патриот задняя 3162;УАЗ;Patriot;;;6980;;;;Back;;;
Панель крыши Патриот пере…;Панель крыши Патриот передняя 3162;УАЗ;Patriot;;;6980;;;;Front;;;
Панель передняя УАЗ-469 (…;Панель передняя УАЗ-469 (морда) (ОАО УАЗ)  /металл/;УАЗ;469;;;12825;;;;Front;;;
Панель передняя УАЗ-3151 …;Панель передняя УАЗ-3151 Хантер (морда) (ОАО УАЗ)  /металл/;УАЗ;Hunter;;;8720;;;;Front;;;
